iter	Passed	Remaining
0	0	778
1	1	759
2	2	693
3	2	690
4	3	696
5	4	680
6	4	675
7	5	682
8	6	698
9	7	693
10	7	715
11	8	715
12	9	730
13	10	738
14	11	729
15	11	725
16	12	715
17	13	711
18	13	705
19	14	701
20	14	694
21	15	689
22	16	688
23	16	683
24	17	679
25	18	675
26	19	687
27	19	690
28	20	696
29	21	695
30	22	693
31	22	692
32	23	691
33	24	687
34	24	683
35	25	680
36	26	678
37	26	676
38	27	673
39	27	669
40	28	667
41	29	666
42	29	666
43	30	664
44	31	663
45	31	662
46	32	660
47	33	662
48	34	661
49	34	661
50	35	662
51	36	661
52	36	658
53	37	656
54	38	653
55	38	651
56	39	649
57	39	647
58	40	646
59	41	643
60	41	640
61	42	638
62	42	637
63	43	635
64	44	633
65	44	632
66	45	631
67	45	629
68	46	630
69	47	628
70	48	629
71	48	628
72	49	628
73	50	627
74	50	625
75	51	624
76	51	622
77	52	621
78	53	619
79	53	618
80	54	616
81	54	615
82	55	610
83	55	609
84	56	608
85	57	608
86	57	608
87	58	607
88	59	605
89	59	605
90	60	604
91	61	603
92	61	602
93	62	601
94	63	601
95	63	600
96	64	600
97	65	599
98	65	598
99	66	598
100	67	598
101	68	599
102	69	602
103	69	602
104	70	603
105	71	602
106	72	601
107	72	601
108	73	599
109	74	600
110	74	599
111	75	598
112	76	597
113	76	597
114	77	597
115	78	597
116	78	595
117	79	594
118	80	595
119	81	595
120	81	594
121	82	592
122	83	592
123	83	590
124	84	590
125	84	589
126	85	587
127	86	586
128	86	585
129	87	584
130	87	583
131	88	582
132	89	581
133	89	580
134	90	580
135	91	579
136	91	579
137	92	578
138	93	577
139	94	577
140	94	577
141	95	575
142	95	574
143	96	573
144	97	572
145	97	571
146	98	570
147	98	569
148	99	568
149	100	567
150	100	566
151	101	565
152	101	564
153	102	563
154	103	562
155	103	561
156	104	560
157	105	560
158	105	559
159	106	559
160	107	557
161	107	558
162	108	557
163	109	556
164	109	555
165	110	554
166	110	553
167	111	552
168	112	551
169	112	550
170	113	549
171	114	549
172	114	548
173	115	548
174	116	547
175	116	546
176	117	545
177	117	544
178	118	543
179	119	542
180	119	542
181	120	541
182	121	541
183	121	540
184	122	540
185	123	540
186	124	539
187	124	538
188	125	538
189	125	536
190	126	536
191	127	535
192	127	534
193	128	533
194	129	532
195	129	531
196	130	530
197	130	529
198	131	528
199	132	528
200	132	527
201	133	526
202	134	526
203	134	525
204	135	526
205	136	525
206	137	525
207	137	524
208	138	523
209	138	522
210	139	521
211	140	520
212	140	520
213	141	519
214	142	518
215	142	517
216	143	517
217	143	515
218	144	514
219	144	513
220	145	513
221	146	512
222	146	511
223	147	510
224	147	509
225	148	509
226	149	509
227	150	510
228	151	509
229	152	508
230	152	509
231	153	508
232	154	508
233	155	508
234	156	507
235	156	507
236	157	506
237	158	506
238	158	505
239	159	504
240	159	503
241	160	502
242	161	501
243	161	500
244	162	500
245	162	499
246	163	499
247	164	499
248	165	498
249	165	497
250	167	498
251	167	497
252	168	497
253	169	496
254	169	495
255	170	494
256	170	493
257	171	493
258	172	492
259	172	491
260	173	490
261	173	489
262	174	488
263	175	488
264	175	487
265	176	486
266	177	486
267	177	485
268	178	485
269	179	485
270	180	486
271	181	485
272	182	485
273	183	485
274	184	485
275	185	485
276	185	485
277	186	484
278	187	483
279	187	483
280	188	482
281	189	481
282	189	481
283	190	480
284	191	479
285	191	479
286	192	478
287	193	479
288	194	478
289	195	478
290	196	477
291	197	477
292	197	477
293	198	476
294	199	476
295	199	475
296	200	474
297	201	473
298	201	473
299	202	472
300	203	472
301	203	471
302	204	470
303	205	469
304	205	468
305	206	468
306	207	468
307	208	468
308	209	467
309	209	466
310	210	466
311	211	465
312	211	464
313	212	464
314	213	463
315	213	462
316	214	461
317	214	460
318	215	460
319	216	459
320	216	458
321	217	457
322	217	456
323	218	455
324	218	454
325	219	453
326	220	453
327	220	452
328	221	452
329	222	451
330	222	450
331	223	449
332	224	448
333	224	447
334	225	447
335	225	446
336	226	445
337	226	444
338	227	443
339	228	442
340	228	441
341	229	441
342	229	440
343	230	439
344	231	438
345	231	437
346	232	437
347	233	436
348	233	435
349	234	435
350	235	434
351	235	434
352	236	433
353	237	433
354	238	432
355	238	432
356	239	431
357	240	431
358	241	430
359	241	429
360	242	429
361	242	428
362	243	427
363	244	426
364	244	426
365	245	425
366	246	424
367	246	423
368	247	423
369	248	422
370	248	421
371	249	421
372	250	421
373	251	420
374	252	420
375	252	419
376	253	419
377	254	418
378	255	417
379	255	417
380	256	416
381	257	416
382	258	416
383	259	415
384	259	415
385	260	414
386	261	413
387	261	412
388	262	412
389	263	411
390	263	410
391	264	410
392	265	410
393	266	409
394	267	409
395	267	408
396	268	407
397	269	406
398	269	406
399	270	405
400	270	404
401	271	404
402	272	403
403	272	402
404	273	401
405	274	401
406	274	400
407	275	399
408	275	398
409	276	397
410	277	397
411	277	396
412	278	395
413	279	395
414	280	394
415	280	394
416	281	393
417	282	392
418	282	392
419	283	391
420	284	390
421	284	390
422	285	389
423	286	388
424	286	387
425	287	387
426	287	386
427	288	385
428	289	385
429	289	384
430	290	383
431	291	382
432	291	382
433	292	381
434	293	381
435	294	380
436	294	380
437	295	379
438	296	378
439	297	378
440	297	377
441	298	376
442	299	376
443	299	375
444	300	374
445	301	374
446	301	373
447	302	372
448	302	371
449	303	371
450	304	370
451	304	369
452	305	368
453	305	367
454	306	367
455	307	366
456	308	366
457	309	365
458	309	365
459	310	364
460	311	363
461	311	362
462	312	362
463	313	361
464	313	361
465	314	360
466	315	359
467	315	359
468	316	358
469	317	357
470	317	356
471	318	356
472	319	355
473	319	354
474	320	353
475	320	353
476	321	352
477	322	351
478	323	351
479	323	350
480	324	350
481	325	349
482	325	348
483	326	347
484	327	347
485	327	346
486	328	345
487	329	345
488	329	344
489	330	343
490	330	343
491	331	342
492	332	341
493	332	340
494	333	340
495	334	339
496	334	338
497	335	338
498	336	337
499	337	337
500	338	336
501	338	336
502	339	335
503	340	335
504	341	334
505	341	333
506	342	333
507	343	332
508	343	331
509	344	330
510	344	330
511	345	329
512	346	328
513	346	327
514	347	327
515	347	326
516	348	325
517	349	324
518	349	324
519	350	323
520	351	322
521	351	322
522	352	321
523	354	321
524	355	321
